Stock,RMSE,R2 Score
AAPL,2.141808357971415,0.9853325522469288
MSFT,4.726623591443948,0.9869198406209769
GOOGL,2.2087230265071987,0.9814120731074293
AMZN,2.4420520956091334,0.983613603965297
TSLA,7.101319342362603,0.9720945159745356
META,5.596148465156919,0.9922658822705834
NFLX,8.828583907172733,0.97443934404584
NVDA,1.0267211103104856,0.9910701045809176
INTC,0.7906674513293467,0.9791220103558024
IBM,1.33456865612183,0.9862348399070259
